episode,total_demand,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48
21,1806,15,4,4,24,17,1,0,10,16,6,20,7,2,6,41,59,65,20,4,14,30,50,281,129,3,7,36,52,64,129,74,46,21,23,88,43,52,71,1,48,82,18,14,51,23,18,9,8,0
22,1869,10,1,6,27,11,1,0,16,26,3,23,7,3,12,57,62,65,18,2,6,32,63,303,132,4,5,29,46,68,148,71,35,21,21,75,38,57,66,2,44,100,21,23,35,29,19,12,9,5
23,1925,12,1,5,23,11,1,0,11,17,17,26,11,1,11,40,59,73,19,2,9,36,54,300,112,3,6,45,43,96,147,74,40,16,27,59,36,80,71,0,61,114,29,14,56,23,10,14,8,2
24,1834,10,0,5,20,8,3,0,10,19,8,21,12,1,6,47,56,66,14,0,6,24,61,286,128,3,4,39,49,72,110,73,41,15,30,87,49,68,78,1,56,87,33,16,47,24,21,11,9,0
25,1722,12,0,4,14,10,2,0,8,14,13,26,6,0,8,43,61,56,10,1,7,39,47,259,98,10,3,45,29,62,146,87,49,16,26,70,34,61,76,1,37,87,22,15,44,24,25,9,5,1
26,1830,11,0,9,14,17,5,0,20,20,12,26,9,0,8,48,51,84,16,5,6,31,62,292,117,2,4,43,34,84,143,86,50,12,25,67,28,53,55,1,47,90,27,8,38,17,30,15,6,2
27,1779,16,0,6,17,10,1,0,11,15,14,20,5,4,2,49,59,82,20,2,10,32,55,264,113,5,10,50,39,78,130,58,41,15,24,75,36,56,58,0,58,89,16,14,40,35,11,22,10,2
28,1880,10,2,7,17,12,1,0,14,16,5,19,8,1,7,48,70,78,20,1,12,42,58,270,124,5,7,47,37,83,131,110,40,13,19,60,52,70,85,1,50,82,17,13,50,27,15,12,9,3
29,1834,5,0,4,22,20,2,0,11,22,6,19,12,3,11,41,47,70,24,3,8,34,43,280,124,8,4,47,40,95,146,81,37,19,22,75,29,65,82,2,52,80,17,7,44,23,22,17,7,2
30,1755,12,2,4,23,12,2,0,7,24,5,8,9,3,11,41,50,68,13,1,4,33,59,252,111,6,8,50,38,57,120,71,41,11,27,95,44,71,75,3,48,93,20,19,48,18,16,12,7,3
31,1812,10,1,6,25,11,5,0,14,13,13,18,9,3,8,58,55,73,12,0,5,40,46,288,107,1,4,33,37,74,143,85,34,20,18,84,57,77,68,2,49,78,14,10,40,18,15,18,10,3
32,1832,7,0,3,21,10,5,0,7,16,11,21,4,3,10,52,48,85,14,3,8,29,46,295,126,2,5,50,38,74,143,76,40,23,26,77,48,71,70,0,42,89,25,13,38,27,18,9,3,1
33,1847,14,0,7,20,11,2,0,14,13,6,31,6,3,8,43,56,81,16,4,16,38,71,319,116,0,9,53,31,71,133,76,42,17,18,72,34,69,63,2,52,79,17,13,36,21,19,12,11,2
34,1897,7,1,5,24,6,2,0,12,17,7,29,7,1,4,65,60,71,12,4,11,42,49,302,121,4,3,41,49,81,152,78,40,11,26,90,45,63,75,3,56,90,20,10,40,22,19,10,9,1
35,1772,12,0,6,19,10,0,0,13,18,10,24,6,4,6,47,43,73,15,4,7,36,63,279,97,3,3,48,47,74,144,87,44,25,19,76,32,66,62,1,44,73,27,9,30,26,19,8,12,1
36,1807,6,0,4,22,11,2,0,16,16,14,17,5,2,9,54,48,73,17,5,8,33,54,287,112,3,3,58,39,72,136,66,30,18,24,86,42,57,60,3,52,99,14,11,52,25,20,15,6,1
37,1843,6,0,6,29,8,2,0,17,21,6,26,8,0,10,57,59,74,18,4,11,31,49,278,124,3,5,42,45,80,142,73,43,13,23,68,35,83,84,1,44,70,18,14,49,23,14,16,10,1
38,1899,7,0,5,31,7,3,0,14,14,14,35,10,0,6,64,53,77,10,3,13,35,64,280,116,5,3,47,41,77,123,86,44,15,21,80,46,61,81,1,48,97,24,17,51,22,23,13,10,2
39,1779,14,0,1,18,13,2,0,18,19,8,30,9,4,3,64,44,74,17,0,4,41,50,268,120,7,2,31,39,67,137,76,46,11,20,79,41,66,70,0,54,75,19,16,38,27,13,13,8,3
40,1724,6,0,8,16,12,5,0,6,25,14,22,8,1,14,44,51,66,20,2,11,37,59,266,107,7,3,33,40,74,124,76,48,16,19,73,31,66,69,3,39,78,18,15,37,19,14,13,8,1
41,1834,9,0,6,15,10,4,0,11,18,11,25,10,2,8,44,62,86,20,3,8,31,61,258,126,5,2,44,42,71,144,82,40,22,30,72,34,64,74,1,41,90,19,9,48,29,19,13,8,3
42,1874,4,1,1,26,10,5,0,11,18,11,22,13,3,11,51,51,72,11,0,4,38,52,296,133,1,4,39,49,79,126,79,55,19,24,76,40,58,84,3,50,97,20,15,47,24,18,9,10,4
43,1778,5,2,4,18,8,7,0,17,17,19,30,7,1,7,45,45,66,22,0,8,35,61,290,98,5,2,57,43,67,138,75,47,19,36,68,37,71,78,0,38,70,16,11,33,14,15,10,13,3
44,1810,13,0,1,21,12,3,0,12,8,12,24,14,3,8,36,47,69,20,4,14,26,55,286,123,5,5,47,39,63,123,86,40,17,27,84,34,74,78,0,44,90,19,17,42,19,16,21,6,3
45,1844,8,0,6,27,9,6,0,11,24,10,21,14,2,10,55,46,76,16,2,8,29,68,273,125,3,4,39,42,74,137,81,39,14,26,70,37,55,71,1,55,90,28,11,52,36,15,13,5,0
46,1827,14,0,3,22,10,2,0,15,12,10,28,11,1,6,51,58,71,21,4,12,32,61,260,114,5,8,32,60,65,132,84,47,22,27,84,39,61,59,0,60,76,29,16,45,22,18,12,6,0
47,1781,8,0,8,23,7,4,0,14,15,5,20,7,1,8,39,64,52,12,2,14,20,57,286,112,6,5,44,43,78,140,70,37,19,16,75,47,72,74,0,53,79,24,9,47,23,18,16,7,1
48,1869,7,1,7,18,9,1,0,12,27,9,26,7,2,2,54,56,78,21,0,11,35,69,275,134,3,5,38,36,77,131,71,53,18,21,76,32,64,88,0,39,92,28,12,46,33,21,16,8,0
49,1841,11,1,4,21,9,4,0,17,25,6,22,11,2,10,44,66,65,15,1,11,34,60,288,113,4,8,43,32,69,135,84,46,15,21,68,42,77,74,0,57,70,27,16,51,19,17,16,8,2
50,1787,15,3,4,21,10,6,0,9,14,8,18,10,2,9,44,61,65,15,3,13,31,53,269,123,5,7,42,44,67,131,91,39,22,15,70,34,81,60,0,54,79,20,9,46,21,19,10,9,6
51,1784,7,1,9,22,16,0,0,11,14,12,24,12,1,8,53,57,82,18,2,9,28,42,304,110,8,2,43,42,82,121,84,42,9,26,56,33,57,73,0,53,80,16,10,36,18,21,19,8,3
52,1767,6,1,6,23,9,4,0,18,21,14,21,5,2,8,49,57,85,13,4,7,17,57,287,101,4,5,39,40,72,130,72,41,18,18,67,39,65,71,1,54,75,27,14,30,25,13,20,9,3
53,1790,9,0,8,26,8,1,0,18,25,10,11,4,1,12,56,64,56,14,2,11,35,59,279,141,5,7,34,42,66,138,79,37,14,20,60,44,60,72,0,48,77,22,11,47,19,15,15,4,4
54,1827,11,0,4,22,11,2,0,13,11,13,25,11,4,7,49,63,73,12,2,11,31,52,283,105,6,2,50,38,77,127,83,43,15,28,74,48,62,75,0,50,86,29,14,41,26,18,12,6,2
55,1851,12,0,4,23,10,1,0,17,20,5,22,5,2,15,48,56,69,15,3,7,37,56,289,122,5,10,44,38,67,144,77,38,21,19,80,35,75,72,1,37,99,19,12,46,32,18,13,8,3
56,1796,5,0,7,23,12,1,0,9,18,3,28,5,1,7,45,56,74,8,4,12,31,60,271,116,3,3,38,47,67,139,95,46,10,25,77,31,64,77,1,51,76,17,10,53,33,11,15,10,1
57,1736,17,0,7,16,12,3,0,21,18,7,18,6,1,9,48,57,70,23,3,13,27,53,244,109,6,7,34,37,72,137,75,37,13,18,66,46,65,73,4,57,80,21,13,34,23,13,16,5,2
58,1785,10,0,3,37,12,2,0,15,17,11,21,13,3,10,54,44,65,12,5,11,27,54,276,106,11,4,44,44,74,124,75,41,12,17,76,40,75,87,0,63,63,15,13,48,25,8,14,3,1
59,1804,14,0,5,18,11,1,0,12,17,14,16,9,2,9,40,61,67,15,2,9,29,55,281,109,6,8,48,37,71,143,73,49,19,23,62,52,65,64,2,44,84,26,11,50,26,24,17,3,1
60,1775,9,0,4,24,5,5,0,6,25,7,25,5,1,7,44,38,66,18,5,9,30,54,277,134,4,2,48,46,75,138,71,33,10,22,90,36,73,66,2,51,71,21,15,27,25,17,17,14,3
61,1836,6,1,8,17,11,4,0,13,18,12,16,7,1,7,50,60,71,20,2,11,34,46,283,113,1,1,50,38,76,124,80,47,12,19,79,53,74,83,0,60,74,20,19,52,18,19,16,5,5
62,1829,9,1,3,24,6,0,0,14,26,10,23,9,2,10,49,58,70,14,1,5,26,63,294,106,2,4,50,47,78,128,70,49,24,25,62,37,72,86,4,42,95,22,10,40,20,15,15,9,0
63,1792,5,0,6,25,12,3,0,8,20,8,14,5,2,10,39,50,70,15,2,16,27,51,278,130,8,2,47,46,71,151,70,49,12,19,80,44,49,72,3,56,76,16,16,50,28,9,10,10,2
64,1839,12,1,8,26,13,3,0,13,19,14,26,13,2,9,59,53,82,17,4,9,32,54,273,122,4,5,42,31,69,131,82,38,17,17,69,40,67,75,1,64,65,24,18,47,29,19,9,12,0
65,1883,13,1,1,21,8,5,0,19,22,13,21,8,1,11,50,71,66,24,3,12,26,66,300,117,4,7,37,39,71,138,79,38,18,20,83,39,71,69,1,57,85,32,13,44,19,17,12,9,2
66,1903,12,0,11,21,10,2,0,16,20,15,28,10,2,3,61,69,68,17,4,10,37,49,275,112,6,9,47,51,66,144,82,46,19,25,78,37,79,78,0,56,91,15,10,48,32,10,16,5,1
67,1803,12,1,5,28,10,1,0,9,21,10,28,14,3,14,60,70,61,20,2,10,29,47,264,132,3,6,34,37,56,119,87,48,21,26,63,35,74,79,1,49,85,18,6,36,26,22,14,5,2
68,1846,6,1,7,18,16,0,0,18,22,10,23,13,0,9,53,56,75,12,1,13,40,55,274,122,4,8,35,49,69,125,75,52,21,29,71,43,59,84,2,44,81,23,10,53,28,17,12,5,3
69,1786,16,0,4,26,7,4,0,10,11,7,24,6,3,9,49,53,64,11,1,15,33,58,297,115,2,0,36,42,82,134,89,38,9,19,72,34,69,71,2,52,73,19,7,40,30,17,19,0,7
70,1838,11,0,6,18,10,0,0,16,27,8,26,8,4,7,53,48,56,15,2,11,26,55,279,135,8,4,49,44,67,136,83,52,18,13,94,36,64,65,1,58,85,14,15,57,22,16,9,5,2
71,1824,8,1,11,18,8,1,0,19,27,10,24,9,1,7,48,47,64,15,1,12,33,56,284,119,7,5,47,45,79,144,76,41,12,22,71,45,61,89,0,41,71,22,11,47,18,15,21,10,1
72,1848,8,0,7,21,13,1,0,9,22,14,22,8,1,4,49,65,71,12,2,9,30,69,279,119,3,2,38,57,82,130,81,41,13,22,84,41,71,77,0,43,87,20,14,41,25,19,9,10,3
73,1742,11,1,4,22,8,2,0,10,12,15,27,15,1,2,40,55,76,16,1,10,31,60,264,103,5,5,47,34,63,133,74,47,13,21,81,40,58,59,0,46,89,22,10,37,29,18,14,8,3
74,1791,7,2,3,24,10,4,0,13,14,10,25,12,1,5,45,64,77,9,1,7,24,54,278,144,3,2,48,41,62,128,88,43,13,26,88,46,53,68,0,44,66,19,14,45,23,15,11,8,4
75,1852,11,1,6,21,13,2,0,10,23,13,22,8,3,5,50,55,71,13,1,18,35,52,288,115,1,5,44,52,88,124,70,48,17,29,67,42,60,88,0,51,87,20,17,37,26,16,13,7,7
76,1928,6,1,2,19,10,1,1,19,19,15,25,5,2,6,56,73,75,15,3,12,31,65,290,137,2,3,54,42,74,156,69,48,16,29,78,39,79,72,1,42,83,17,20,48,30,25,10,3,0
77,1783,10,0,4,18,7,4,0,13,12,8,19,10,3,7,62,63,72,14,2,10,31,42,266,122,8,4,46,35,79,129,70,51,12,18,65,54,62,92,1,36,85,22,14,30,27,16,16,7,5
78,1750,11,0,9,28,17,2,0,7,20,8,24,8,2,10,47,53,60,8,1,10,29,58,248,104,5,5,32,32,60,147,87,45,18,29,80,45,56,88,1,55,68,17,7,42,19,15,23,9,1
79,1789,13,0,3,14,11,5,0,13,16,9,19,7,2,8,55,59,78,8,3,8,28,44,305,127,6,3,42,36,68,131,68,35,17,20,86,33,67,85,1,42,87,23,19,39,18,14,8,3,3
80,1804,7,0,9,15,10,1,0,12,16,7,22,9,2,7,40,69,60,16,0,4,29,69,292,121,4,5,53,40,60,137,69,40,18,31,76,39,66,84,3,44,73,15,12,50,25,17,19,4,3
81,1888,9,0,3,19,10,1,0,10,17,14,24,13,5,6,50,56,98,16,0,5,36,58,282,121,5,5,45,53,68,140,75,41,10,20,91,40,75,77,1,57,82,28,10,46,27,15,17,4,3
82,1805,7,0,5,21,8,2,0,14,15,7,20,6,2,4,42,51,97,17,2,7,29,54,268,130,4,6,47,36,59,140,81,42,15,23,87,26,72,80,1,49,85,14,16,47,24,20,14,7,2
83,1851,9,0,4,25,11,1,0,14,20,6,23,9,1,9,55,64,77,11,5,11,46,44,272,119,6,1,42,52,61,145,86,40,12,28,84,44,84,71,1,52,81,17,7,44,16,16,9,6,10
84,1827,5,2,6,15,4,4,0,15,20,10,19,8,3,10,45,57,83,10,2,9,26,67,257,119,6,5,33,46,64,135,80,51,12,28,82,45,67,83,0,55,95,21,19,34,26,23,8,10,3
85,1795,6,0,5,19,11,4,0,8,22,12,21,7,2,7,44,54,84,7,2,12,24,68,276,110,4,2,53,40,69,145,65,31,20,22,60,39,63,87,0,57,98,20,15,48,16,14,13,8,1
86,1888,9,0,8,17,7,5,0,12,11,9,22,7,2,4,49,57,67,22,2,13,40,57,291,112,4,5,48,44,69,153,78,51,24,19,76,53,79,88,2,59,72,21,11,34,26,23,17,6,3
87,1890,8,2,4,26,11,1,0,10,28,9,28,8,3,4,51,48,93,14,3,11,38,58,301,124,1,5,41,34,76,133,81,51,19,24,74,37,64,87,1,52,80,15,12,50,32,18,8,8,4
88,1780,6,0,3,13,11,1,0,6,22,9,16,7,1,4,54,57,72,18,3,12,35,45,266,139,8,1,48,37,94,129,74,39,20,14,68,37,60,65,0,36,78,25,23,56,32,17,12,3,4
89,1790,11,0,3,17,7,2,1,10,11,6,21,9,1,11,56,51,80,13,0,14,37,59,267,116,2,3,48,33,71,137,82,44,17,25,65,42,77,69,3,58,73,21,10,40,31,19,8,7,2
90,1854,11,2,7,17,11,3,0,13,19,4,23,10,0,11,59,49,82,15,2,7,36,59,303,115,2,7,45,32,55,131,79,43,19,22,81,37,88,79,1,49,77,26,14,37,31,15,12,11,3
91,1799,8,0,5,23,13,3,0,14,23,9,23,11,3,7,44,54,62,11,3,15,30,47,278,124,3,1,42,49,77,139,72,41,17,19,66,44,71,84,0,45,75,27,15,41,24,14,15,6,2
92,1799,8,0,5,17,7,2,1,11,12,15,27,9,2,8,39,54,82,10,3,7,34,46,260,139,5,5,46,71,83,152,57,37,15,17,74,35,72,76,1,48,67,26,20,43,20,16,11,3,1
93,1808,5,1,1,18,8,2,0,10,18,9,24,11,4,9,45,48,61,12,2,6,29,52,285,124,2,6,38,37,69,169,83,39,12,38,99,41,74,70,1,43,72,18,11,48,24,14,11,3,2
94,1896,7,1,6,20,14,3,0,18,16,9,19,10,5,13,55,66,60,14,3,11,35,66,280,129,9,5,40,47,76,132,94,43,19,17,80,42,64,82,0,56,83,17,11,40,32,18,18,9,2
95,1840,9,0,3,18,18,3,0,18,12,13,22,9,1,18,49,55,73,22,4,9,32,56,297,117,6,4,40,43,59,124,75,38,18,24,84,45,65,69,1,55,90,23,14,42,18,16,17,10,2
96,1715,7,1,7,21,10,3,0,17,17,7,16,11,1,4,36,56,67,20,1,6,26,49,263,106,5,3,29,39,69,139,55,46,13,15,72,35,73,80,1,44,91,25,21,39,25,19,15,10,0
97,1772,8,0,6,14,10,2,0,17,11,9,15,7,4,8,56,52,70,13,0,12,29,63,271,106,3,6,49,40,71,161,91,35,24,24,72,31,70,63,0,37,78,14,14,44,19,17,15,9,2
98,1786,8,0,3,17,15,2,0,17,16,10,11,9,2,7,51,56,76,13,0,13,16,54,303,108,5,5,47,34,60,143,79,44,12,22,65,41,69,74,3,42,89,26,11,45,26,15,13,7,2
99,1738,8,1,4,19,11,2,0,8,15,6,15,10,1,6,35,48,84,11,3,14,25,52,255,110,2,1,35,34,77,142,58,39,14,19,73,47,60,84,1,56,89,35,19,54,18,18,8,7,5
100,1863,10,2,8,17,9,3,0,13,19,7,13,10,1,6,46,54,66,12,3,10,33,49,308,138,5,1,50,47,63,149,76,26,11,30,79,45,75,73,0,49,81,32,18,43,32,17,13,7,4
101,1811,6,1,7,16,14,1,0,14,20,7,21,6,2,8,59,58,74,18,3,7,42,54,275,130,9,7,44,49,75,140,69,41,12,19,68,37,69,65,1,43,82,15,10,46,18,20,20,6,3
102,1743,9,1,6,22,11,2,0,11,12,11,28,10,2,9,38,69,71,11,2,8,27,50,282,108,5,3,29,35,70,127,68,44,17,21,82,36,67,74,2,52,70,19,10,41,31,22,9,4,5
103,1824,10,2,2,17,6,2,0,14,9,14,19,9,2,9,48,54,71,14,1,11,39,37,269,108,5,1,43,30,72,141,82,45,20,28,96,47,71,77,2,56,92,19,19,46,26,20,12,5,2
104,1858,5,0,5,12,11,5,0,12,26,10,22,10,3,4,59,68,62,14,5,7,37,48,276,102,8,2,56,42,91,145,80,44,19,30,74,41,71,86,1,48,71,31,17,34,25,21,9,8,1
105,1810,10,0,3,20,9,3,0,19,20,12,27,11,2,3,47,69,70,9,0,15,40,53,273,135,6,1,47,40,70,161,70,30,25,25,66,37,69,77,1,38,71,21,5,42,21,18,12,7,0
106,1847,16,0,6,20,8,1,0,18,10,3,24,7,1,9,48,43,87,25,4,8,30,59,278,114,6,5,41,37,61,150,74,42,14,33,91,51,75,77,1,57,77,23,19,37,23,10,12,8,4
107,1763,8,0,6,23,10,2,0,8,20,12,32,7,1,10,51,46,79,11,4,8,24,58,290,115,5,4,49,30,62,132,78,49,15,26,53,36,69,62,0,43,93,24,13,35,24,14,11,8,3
108,1814,4,2,7,24,4,3,0,8,11,10,21,5,0,12,56,56,75,13,1,14,24,56,298,115,4,6,38,35,75,137,97,50,13,25,69,31,54,84,1,44,81,25,15,49,22,20,13,5,2
109,1825,8,2,6,17,10,1,0,15,18,15,26,10,2,8,44,63,63,14,5,14,28,68,268,116,7,7,56,47,71,138,93,35,11,29,73,32,74,60,2,50,80,22,15,43,26,17,11,5,0
110,1816,12,1,8,21,6,1,0,12,18,7,20,7,0,4,49,57,74,11,1,11,37,49,256,129,8,2,49,46,64,159,74,44,17,29,82,34,66,69,1,39,78,24,12,46,36,25,10,10,1
111,1830,4,3,8,16,8,3,1,15,20,15,26,7,2,7,43,59,77,16,1,14,32,55,289,113,9,5,40,36,64,136,72,47,12,30,66,35,69,84,0,43,75,25,24,47,31,19,15,10,2
112,1852,8,0,7,20,14,2,0,15,17,4,13,8,1,2,47,58,81,15,3,11,36,52,293,134,6,3,38,33,84,155,76,49,11,19,71,34,72,86,1,60,81,16,10,47,21,20,10,5,3
113,1818,9,0,6,17,13,3,0,13,15,18,22,9,1,6,46,64,69,15,3,8,40,51,290,118,6,3,57,39,66,129,71,48,17,18,56,40,79,81,0,51,78,26,8,48,28,12,12,7,2
114,1842,12,0,5,28,8,1,0,10,17,10,22,7,1,9,40,54,74,17,5,6,33,45,313,102,5,11,40,38,62,152,88,40,26,29,74,41,63,81,2,44,78,24,17,41,28,19,12,4,4
115,1770,7,0,6,24,15,1,1,12,19,5,15,9,1,5,29,59,78,11,3,13,21,50,280,129,6,4,36,41,65,123,95,40,15,25,74,40,67,78,2,47,91,12,18,40,21,15,16,3,3
116,1860,5,2,5,18,13,3,0,15,18,13,10,10,4,6,48,60,70,9,3,9,32,60,303,126,4,6,40,33,58,137,92,42,18,30,74,45,73,82,1,49,94,21,13,33,25,22,18,5,3
117,1753,6,0,7,21,18,5,0,12,25,6,20,10,3,9,49,57,73,8,1,9,24,47,268,106,8,2,41,42,65,135,82,40,17,17,81,52,55,70,2,44,78,25,8,39,30,13,9,6,8
118,1857,6,0,7,24,14,3,0,7,16,13,22,9,3,8,42,46,67,16,1,5,39,59,282,121,4,4,45,45,74,157,85,51,20,24,75,50,63,60,1,57,89,19,14,42,20,22,14,10,2
119,1881,9,1,9,23,15,2,0,16,19,13,18,13,2,6,52,48,70,17,3,10,34,64,290,140,2,4,40,43,57,114,85,34,13,35,85,39,63,91,3,57,92,20,14,39,29,16,14,11,7
120,1798,10,0,7,21,8,7,0,10,25,11,22,11,6,4,46,55,75,11,4,8,31,48,273,114,3,6,45,35,66,139,75,52,15,20,81,35,59,72,2,59,76,29,16,49,21,14,15,5,2
121,1824,10,0,4,14,12,1,0,12,16,10,23,7,3,11,52,67,67,21,3,5,35,56,292,129,5,6,38,38,72,133,73,35,15,20,81,58,63,60,2,42,96,19,8,43,20,20,16,8,3
122,1881,18,0,5,19,11,2,0,7,12,9,27,6,3,10,44,47,86,16,1,10,27,51,294,129,10,6,56,30,62,148,84,42,18,31,76,41,68,83,0,46,84,21,14,63,30,14,8,10,2
123,1785,16,0,5,15,9,2,0,16,24,9,9,10,3,7,54,67,60,18,4,11,34,55,281,121,5,4,48,34,73,125,80,47,18,12,69,37,56,72,2,46,81,21,15,40,33,13,19,3,2
124,1828,12,0,8,20,13,6,0,13,17,10,25,11,1,11,42,49,76,15,1,15,26,51,273,128,2,2,46,34,63,131,82,40,20,22,82,41,71,71,2,52,102,19,14,42,24,16,19,8,0
125,1821,12,1,6,17,12,1,0,13,15,9,24,6,3,11,72,59,73,16,3,8,38,52,270,124,5,3,45,35,70,145,71,55,22,25,69,46,59,69,0,56,61,21,12,36,33,13,17,7,1
126,1788,4,0,4,17,11,1,0,10,18,8,25,9,3,8,44,44,60,17,0,9,36,52,307,132,5,4,29,36,65,142,81,43,15,21,73,55,64,81,1,48,67,16,13,45,22,15,14,11,3
127,1790,4,2,4,21,4,0,0,14,22,10,18,8,1,10,41,43,88,17,1,5,31,54,302,120,5,2,45,35,66,120,79,48,15,26,69,46,71,72,0,52,82,16,10,39,27,22,14,5,4
128,1770,9,0,3,23,9,6,0,7,18,6,19,20,5,3,54,43,70,13,2,8,26,58,272,111,2,3,47,41,84,127,73,38,16,28,69,37,57,84,1,56,69,20,7,44,27,26,17,10,2
129,1788,6,0,6,22,11,3,0,13,13,9,18,9,5,8,35,50,62,14,1,6,32,55,302,141,4,8,37,37,82,135,78,47,15,18,71,41,67,69,1,39,74,20,9,40,38,15,14,7,1
